I1031 14:15:05.316534 34310 convert_annoset.cpp:122] A total of 118287 images.
I1031 14:15:05.317431 34310 db_lmdb.cpp:35] Opened lmdb /data1/jeffhzhang/data/coco/lmdb/coco_train_lmdb
I1031 14:15:18.165468 34310 convert_annoset.cpp:195] Processed 1000 files.
I1031 14:15:29.840036 34310 convert_annoset.cpp:195] Processed 2000 files.
I1031 14:15:41.801651 34310 convert_annoset.cpp:195] Processed 3000 files.
I1031 14:15:53.913180 34310 convert_annoset.cpp:195] Processed 4000 files.
I1031 14:16:05.653213 34310 convert_annoset.cpp:195] Processed 5000 files.
I1031 14:16:18.049280 34310 convert_annoset.cpp:195] Processed 6000 files.
I1031 14:16:30.059566 34310 convert_annoset.cpp:195] Processed 7000 files.
I1031 14:16:42.332604 34310 convert_annoset.cpp:195] Processed 8000 files.
I1031 14:16:54.583818 34310 convert_annoset.cpp:195] Processed 9000 files.
I1031 14:17:06.461112 34310 convert_annoset.cpp:195] Processed 10000 files.
I1031 14:17:18.621137 34310 convert_annoset.cpp:195] Processed 11000 files.
I1031 14:17:31.063588 34310 convert_annoset.cpp:195] Processed 12000 files.
I1031 14:17:43.263994 34310 convert_annoset.cpp:195] Processed 13000 files.
I1031 14:17:55.340159 34310 convert_annoset.cpp:195] Processed 14000 files.
I1031 14:18:06.930912 34310 convert_annoset.cpp:195] Processed 15000 files.
I1031 14:18:19.414026 34310 convert_annoset.cpp:195] Processed 16000 files.
I1031 14:18:31.088472 34310 convert_annoset.cpp:195] Processed 17000 files.
I1031 14:18:43.409703 34310 convert_annoset.cpp:195] Processed 18000 files.
I1031 14:18:55.532649 34310 convert_annoset.cpp:195] Processed 19000 files.
I1031 14:19:07.239815 34310 convert_annoset.cpp:195] Processed 20000 files.
I1031 14:19:19.849949 34310 convert_annoset.cpp:195] Processed 21000 files.
I1031 14:19:31.268141 34310 convert_annoset.cpp:195] Processed 22000 files.
I1031 14:19:44.001277 34310 convert_annoset.cpp:195] Processed 23000 files.
I1031 14:19:56.281996 34310 convert_annoset.cpp:195] Processed 24000 files.
I1031 14:20:07.655023 34310 convert_annoset.cpp:195] Processed 25000 files.
I1031 14:20:20.296241 34310 convert_annoset.cpp:195] Processed 26000 files.
I1031 14:20:31.640887 34310 convert_annoset.cpp:195] Processed 27000 files.
I1031 14:20:43.479166 34310 convert_annoset.cpp:195] Processed 28000 files.
I1031 14:20:55.900192 34310 convert_annoset.cpp:195] Processed 29000 files.
I1031 14:21:07.744210 34310 convert_annoset.cpp:195] Processed 30000 files.
I1031 14:21:19.682994 34310 convert_annoset.cpp:195] Processed 31000 files.
I1031 14:21:31.379633 34310 convert_annoset.cpp:195] Processed 32000 files.
I1031 14:21:42.959458 34310 convert_annoset.cpp:195] Processed 33000 files.
I1031 14:21:55.615020 34310 convert_annoset.cpp:195] Processed 34000 files.
I1031 14:22:07.313282 34310 convert_annoset.cpp:195] Processed 35000 files.
I1031 14:22:19.603766 34310 convert_annoset.cpp:195] Processed 36000 files.
I1031 14:22:31.653359 34310 convert_annoset.cpp:195] Processed 37000 files.
I1031 14:22:43.433995 34310 convert_annoset.cpp:195] Processed 38000 files.
I1031 14:22:56.330711 34310 convert_annoset.cpp:195] Processed 39000 files.
I1031 14:23:08.319938 34310 convert_annoset.cpp:195] Processed 40000 files.
I1031 14:23:21.059888 34310 convert_annoset.cpp:195] Processed 41000 files.
I1031 14:23:32.589817 34310 convert_annoset.cpp:195] Processed 42000 files.
I1031 14:23:44.398608 34310 convert_annoset.cpp:195] Processed 43000 files.
I1031 14:23:56.603868 34310 convert_annoset.cpp:195] Processed 44000 files.
I1031 14:24:08.759824 34310 convert_annoset.cpp:195] Processed 45000 files.
I1031 14:24:20.593363 34310 convert_annoset.cpp:195] Processed 46000 files.
I1031 14:24:32.689200 34310 convert_annoset.cpp:195] Processed 47000 files.
I1031 14:24:45.005862 34310 convert_annoset.cpp:195] Processed 48000 files.
